epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,171.618,1.68989,4.38298,3.18765,1.75354,0.19407,0.20589,0.14677,0.08398,0.1862,0.20304,0.13409,0.07138,1.60997,3.50922,4.06307,1.65073,0.00326389,0.00326389,0.00326389
2,355.047,1.44938,3.58326,2.21056,1.55082,0.29841,0.27604,0.23566,0.14393,0.31386,0.26343,0.23329,0.1122,1.76367,3.38654,3.22429,1.64352,0.00659396,0.00659396,0.00659396
3,507.573,1.47794,3.50488,2.06053,1.54014,0.30921,0.3061,0.24893,0.1395,0.301,0.29732,0.22602,0.11611,1.88984,3.59711,2.94691,1.80921,0.00992072,0.00992072,0.00992072
