epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,231.166,1.50482,3.2205,1.89943,1.51186,0.39742,0.36421,0.35006,0.19486,0.38521,0.34837,0.3318,0.17715,1.65671,2.93524,1.96416,1.60461,0.00985645,0.00985645,0.00985645
31,239.694,1.53985,3.27922,1.90954,1.53408,0.41866,0.37502,0.34659,0.20293,0.44451,0.3292,0.31086,0.16013,1.60047,2.94358,2.02223,1.56094,0.0098515,0.0098515,0.0098515
32,247.497,1.50386,3.25976,1.88635,1.50509,0.54915,0.30904,0.35118,0.20059,0.51413,0.29401,0.31935,0.17188,1.63458,2.95627,2.00055,1.60552,0.00984655,0.00984655,0.00984655
33,254.954,1.46845,3.1475,1.84306,1.48014,0.45601,0.36592,0.36847,0.21427,0.50948,0.31309,0.34785,0.18792,1.59742,2.86463,1.94314,1.58555,0.0098416,0.0098416,0.0098416
34,262.271,1.48608,3.2281,1.86227,1.50249,0.45308,0.30262,0.33103,0.19742,0.46179,0.27065,0.31043,0.16282,1.58973,2.9282,1.97778,1.56841,0.00983665,0.00983665,0.00983665
35,269.723,1.48917,3.25262,1.84323,1.50518,0.44278,0.39633,0.35237,0.20858,0.36987,0.3668,0.31969,0.17882,1.62521,3.05051,2.10997,1.57441,0.0098317,0.0098317,0.0098317
36,276.897,1.46199,3.1873,1.82543,1.4898,0.5305,0.40386,0.42248,0.25778,0.53278,0.3762,0.3967,0.22262,1.52978,2.7508,1.89224,1.48921,0.00982675,0.00982675,0.00982675
37,284.211,1.47701,3.19752,1.83047,1.48641,0.47733,0.43495,0.40542,0.24371,0.46016,0.42353,0.38107,0.2104,1.50174,2.75355,1.86858,1.44221,0.0098218,0.0098218,0.0098218
38,291.413,1.4473,3.13872,1.79738,1.47459,0.49694,0.38318,0.40313,0.26237,0.46606,0.36634,0.375,0.21745,1.51536,2.766,1.83061,1.44497,0.00981685,0.00981685,0.00981685
39,298.762,1.47475,3.1939,1.80789,1.48258,0.43818,0.39979,0.40934,0.2596,0.43384,0.37458,0.3785,0.21856,1.51754,2.82848,1.90458,1.48117,0.0098119,0.0098119,0.0098119
40,306.05,1.48264,3.23046,1.82063,1.49332,0.45909,0.37785,0.38908,0.23845,0.44794,0.35895,0.35621,0.19516,1.52023,2.87087,1.92966,1.50334,0.00980695,0.00980695,0.00980695
41,313.285,1.44532,3.21573,1.78222,1.47489,0.42598,0.44458,0.42234,0.25853,0.41119,0.40911,0.3758,0.20476,1.50284,2.73709,1.78492,1.47883,0.009802,0.009802,0.009802
42,320.5,1.4598,3.17774,1.78693,1.48812,0.46157,0.42065,0.39897,0.24924,0.43873,0.40936,0.37601,0.19883,1.49073,2.76386,1.80683,1.45941,0.00979705,0.00979705,0.00979705
43,327.785,1.46548,3.18574,1.76199,1.4588,0.46681,0.4701,0.43048,0.27457,0.46378,0.44058,0.40778,0.22573,1.47604,2.75445,1.74436,1.44178,0.0097921,0.0097921,0.0097921
44,335.014,1.47558,3.19984,1.76839,1.47543,0.4752,0.44315,0.43392,0.26325,0.41898,0.45233,0.4084,0.21681,1.50542,2.69933,1.75787,1.43675,0.00978715,0.00978715,0.00978715
45,342.311,1.43528,3.13233,1.72303,1.45604,0.48291,0.46831,0.45653,0.29203,0.5552,0.41915,0.44802,0.25269,1.46581,2.6613,1.897,1.42407,0.0097822,0.0097822,0.0097822
46,349.627,1.44521,3.10601,1.70943,1.45429,0.49624,0.35236,0.36893,0.22566,0.47745,0.34623,0.35107,0.19469,1.66552,2.91541,1.89044,1.59717,0.00977725,0.00977725,0.00977725
47,357.01,1.43149,3.09702,1.7118,1.44808,0.46257,0.46084,0.44389,0.26621,0.42352,0.45588,0.41213,0.22565,1.56658,2.69151,1.82199,1.51438,0.0097723,0.0097723,0.0097723
48,364.404,1.44743,3.10796,1.71357,1.45652,0.58195,0.3151,0.3707,0.23638,0.57086,0.29089,0.34367,0.19275,1.56704,2.92197,2.25628,1.5657,0.00976735,0.00976735,0.00976735
49,371.629,1.39057,3.03643,1.64711,1.41793,0.45977,0.43545,0.41607,0.26252,0.41243,0.41862,0.38431,0.21386,1.50889,2.81919,1.83862,1.50033,0.0097624,0.0097624,0.0097624
50,378.904,1.44514,3.11373,1.6789,1.44048,0.59031,0.48856,0.51093,0.32122,0.55827,0.46558,0.46797,0.26201,1.44449,2.48418,1.60446,1.39634,0.00975745,0.00975745,0.00975745
51,386.221,1.39355,3.06007,1.64665,1.42763,0.5173,0.51363,0.4953,0.3193,0.4982,0.50584,0.47013,0.25833,1.44444,2.58291,1.64388,1.3972,0.0097525,0.0097525,0.0097525
52,393.561,1.44286,3.09584,1.68912,1.44726,0.5705,0.5148,0.523,0.32372,0.55089,0.49183,0.48424,0.25801,1.43097,2.59907,1.64865,1.39579,0.00974755,0.00974755,0.00974755
53,400.108,1.3773,2.99006,1.60959,1.40465,0.57855,0.51445,0.53791,0.34333,0.56351,0.49483,0.50631,0.27281,1.42656,2.53458,1.59346,1.38933,0.0097426,0.0097426,0.0097426
54,406.583,1.40168,3.07119,1.6519,1.43397,0.60359,0.49053,0.52367,0.32866,0.60628,0.47836,0.48954,0.26128,1.45012,2.63382,1.65823,1.41984,0.00973765,0.00973765,0.00973765
