epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,234.185,1.48991,3.25633,1.8912,1.52467,0.4339,0.4236,0.38095,0.21051,0.41308,0.41426,0.35232,0.17694,1.59084,2.9532,2.05792,1.56251,0.00985645,0.00985645,0.00985645
31,241.795,1.52921,3.30203,1.89552,1.54322,0.52209,0.35849,0.39477,0.21109,0.50545,0.34415,0.35762,0.16711,1.55754,3.06178,2.01635,1.51577,0.0098515,0.0098515,0.0098515
32,249.209,1.48077,3.26499,1.86225,1.51045,0.54698,0.38488,0.41433,0.24592,0.52985,0.37638,0.38191,0.19415,1.48956,2.88691,1.89077,1.46466,0.00984655,0.00984655,0.00984655
33,256.777,1.46446,3.16074,1.82968,1.49892,0.43612,0.39602,0.4112,0.24044,0.49572,0.34862,0.38769,0.18527,1.50025,2.76498,1.87645,1.46944,0.0098416,0.0098416,0.0098416
34,264.309,1.47693,3.23592,1.85533,1.51174,0.35721,0.4593,0.38469,0.21757,0.39662,0.38146,0.36878,0.18439,1.51562,2.81219,1.9843,1.47654,0.00983665,0.00983665,0.00983665
35,271.905,1.48488,3.27825,1.84487,1.52935,0.42211,0.37668,0.37572,0.22363,0.42217,0.37688,0.36758,0.18181,1.55854,2.92332,2.02295,1.53607,0.0098317,0.0098317,0.0098317
36,279.427,1.46432,3.21673,1.82312,1.50346,0.38618,0.42288,0.39109,0.23742,0.37818,0.42092,0.38578,0.19851,1.52859,2.89018,1.97162,1.4931,0.00982675,0.00982675,0.00982675
37,286.886,1.47147,3.20276,1.81616,1.4987,0.47528,0.35632,0.38342,0.23216,0.46786,0.34879,0.3704,0.18661,1.61993,2.93018,2.07857,1.57172,0.0098218,0.0098218,0.0098218
38,294.366,1.43849,3.12329,1.78173,1.48295,0.51046,0.42633,0.44891,0.26868,0.49802,0.41596,0.41717,0.21751,1.49546,2.69411,1.76391,1.4118,0.00981685,0.00981685,0.00981685
39,301.863,1.45406,3.20352,1.79103,1.49607,0.4612,0.4135,0.38726,0.22816,0.42867,0.39425,0.34399,0.17177,1.55977,3.0878,1.88261,1.47212,0.0098119,0.0098119,0.0098119
40,309.297,1.46236,3.18932,1.79453,1.48862,0.46354,0.47357,0.43648,0.25576,0.47033,0.44982,0.40328,0.20122,1.48072,2.71765,1.77347,1.42994,0.00980695,0.00980695,0.00980695
