epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,3007.57,1.36529,3.1291,1.87557,1.48803,0.21733,0.17663,0.14113,0.07591,0.20262,0.16664,0.11455,0.05649,1.01547,2.02024,1.59421,1.0715,0.0098614,0.0098614,0.0098614
30,3110.54,1.33946,2.98929,1.83562,1.45932,0.43443,0.14893,0.14036,0.07785,0.44159,0.14437,0.12853,0.0634,1.0658,2.07077,1.73696,1.11733,0.00985645,0.00985645,0.00985645
31,3213.09,1.30342,2.92644,1.78232,1.42819,0.40789,0.24455,0.24167,0.13497,0.38672,0.23399,0.22626,0.11198,0.97618,1.86875,1.33746,1.02958,0.0098515,0.0098515,0.0098515
32,3317.39,1.33802,3.04814,1.82477,1.45376,0.4613,0.19993,0.20203,0.10924,0.43987,0.19133,0.18978,0.09524,0.96302,1.87602,1.43996,1.02281,0.00984655,0.00984655,0.00984655
33,3420.74,1.27802,2.94208,1.79449,1.42173,0.32573,0.21968,0.1796,0.09916,0.24789,0.18736,0.15002,0.07751,0.97616,1.92559,2.89517,1.03979,0.0098416,0.0098416,0.0098416
34,3525.41,1.32246,3.00993,1.83451,1.46336,0.40486,0.2418,0.18343,0.09839,0.32873,0.23288,0.1617,0.07858,0.95983,1.88926,1.54853,1.02709,0.00983665,0.00983665,0.00983665
35,3629.6,1.32599,2.94319,1.77827,1.44256,0.34051,0.21888,0.21835,0.11833,0.31064,0.20677,0.19655,0.10103,0.9822,1.91847,1.65893,1.03716,0.0098317,0.0098317,0.0098317
36,3732.37,1.35193,3.16126,1.8582,1.48515,0.34381,0.22859,0.21379,0.12317,0.33381,0.22972,0.1998,0.10354,0.96096,1.88353,1.43669,1.01708,0.00982675,0.00982675,0.00982675
37,3835.53,1.31759,3.02897,1.79827,1.46061,0.28532,0.22807,0.18971,0.10615,0.24612,0.19781,0.16825,0.08783,0.96979,1.91814,1.76418,1.03444,0.0098218,0.0098218,0.0098218
38,3938.58,1.29852,2.97913,1.78709,1.4456,0.34771,0.19627,0.19134,0.1058,0.32667,0.18498,0.16867,0.08406,0.9799,1.92113,1.46027,1.03734,0.00981685,0.00981685,0.00981685
